application;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ)
rust-actix;40.256;46.818;51.58;52.104;52.738;49.622;4.946
rust-actix-syn-orm;169.847;170.206;170.438;171.101;172.215;170.823;1.244
python-flask;35.096;35.18;35.234;35.29;35.375;35.325;0.443
python-flask-1-thd;65.862;66.113;66.242;66.578;66.853;66.457;0.843
javascript-express;23.553;23.783;23.986;24.071;24.428;23.956;0.218
javascript-express-bun;23.652;23.854;23.929;24.066;24.248;23.959;0.163
