application;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ)
rust-actix;120.972;140.4;154.61;156.185;158.081;148.9;14.715
ruby-sinatra;110.2;110.607;111.279;112.06;113.349;111.637;1.606
go-gorilla;110.833;113.553;114.358;115.683;117.991;114.992;2.275
go-gin;111.229;112.918;113.775;114.375;116.311;114.054;2.145
python-flask;110.05;110.312;110.497;110.649;110.968;110.742;1.332
c-sharp-razor;110.652;111.542;112.843;113.872;115.034;112.755;1.266
javascript-express;74.94;75.543;76.231;76.64;78.042;76.169;0.804
