application;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ)
rust-actix;38.889;46.818;51.589;52.104;60.033;50.129;3.197
ruby-sinatra;35.265;35.388;35.634;35.909;36.69;35.663;0.312
go-gorilla;35.784;36.72;36.899;37.405;38.432;36.983;0.515
go-gin;35.493;36.272;36.495;36.791;37.569;36.568;0.404
python-flask;35.096;35.18;35.23;35.29;35.455;35.231;0.079
c-sharp-razor;33.994;34.234;34.482;34.794;35.084;34.524;0.329
javascript-express;23.553;23.783;23.986;24.071;24.428;23.956;0.218
