application;min (q0);q1;median (q2);q3;max (q4);mean (μ);std (σ)
rust-actix;108.984;75.543;154.61;156.185;182.269;148.9;14.715
rust-actix-syn-orm;526.692;75.543;528.734;529.87;545.659;529.415;3.473
python-flask;110.05;75.543;110.497;110.649;117.468;110.742;1.332
python-flask-1-thd;201.279;75.543;202.478;203.385;215.691;203.034;2.582
javascript-express;74.94;75.543;76.231;76.64;78.042;76.169;0.804
javascript-express-bun;75.275;75.543;76.625;76.932;77.732;76.444;0.659
